coreData_id,coreData_speed,coreData_accelset_long,coreData_accelset_lat,t,x,y,perReportID,corrupted,peerReported
8965636,519.998907438327,-6.00003005578769,8.99999533888745,61.8000007999999,-82.4455749056701,27.9564921255814,8965636,1,0
8965636,519.999756721943,-3.99998939645145,-6.99998434303748,61.9000008,-82.4457083947407,27.9564887546006,8965636,1,0
8965636,528.999009406663,-36.0000415818531,-11.0000130123627,62.0500007999999,-82.4455823609983,27.9564853472122,8965636,1,0
8965636,529.000931202136,-10.9999676087364,-16.000019564059,62.0990007999999,-82.445640616375,27.9564959659311,8965636,1,0
8664210,529,-36,-11,62.4000012000001,-82.4456102,27.9564765,8664210,0,0
8664210,410,-13,-7,65.2500012,-82.4480491,27.9537889,8664210,0,0
8664210,2,-9,-20,71.6000012,-82.4456202,27.9560088,8664210,0,0
8664210,2,-12,-15,71.7000012000001,-82.4456202,27.9560089,8664210,0,0
8664210,3,-10,-14,71.8000012,-82.4456202,27.9560089,8664210,0,0
8664210,3,-6,-16,71.8990011999999,-82.4456202,27.9560087,8664210,0,0
8664210,3,25,-22,72.8000012,-82.4456204,27.9560089,8664210,0,0
8664210,2,36,-25,72.9490012000001,-82.4456204,27.9560082,8664210,0,0
8664210,7,40,-27,73.3000012,-82.4456203,27.9560079,8664210,0,0
8664210,5,38,-24,73.4000012000001,-82.4456203,27.9560081,8664210,0,0
8664210,6,36,-27,73.5000012,-82.4456203,27.9560079,8664210,0,0
8664210,7,30,-23,73.6000012,-82.4456203,27.9560078,8664210,0,0
8664210,7,29,-24,73.7000012000001,-82.4456203,27.9560077,8664210,0,0
8664210,8,32,-25,73.8000012,-82.4456202,27.9560075,8664210,0,0
8664210,8,39,-22,73.9490012000001,-82.4456202,27.9560075,8664210,0,0
8664210,9,39,-22,74.0500012,-82.4456201,27.9560074,8664210,0,0
8664210,9,37,-24,74.1000012,-82.4456201,27.9560073,8664210,0,0
8664210,10,38,-26,74.2000012000001,-82.4456201,27.9560071,8664210,0,0
8664210,12,36,-24,74.3500012,-82.4456201,27.9560068,8664210,0,0
8664210,5,26,-22,74.4000012000001,-82.4456202,27.9560075,8664210,0,0
8664210,5,19,-22,74.5500012,-82.4456202,27.9560073,8664210,0,0
